Bank,City,BIC
SOUTH AFRICAN RESERVE BANK,PRETORIA,SARBZAJ4
TRUSTLINK (PTY) LTD,PRETORIA,LINKZAJJPE3
AGRICULTURAL BANK OF CHINA SEOUL BRANCH,SEOUL,ABOCKRSE
"HYUNDAI MOBIS, CO., LTD.",SEOUL,HYMOKRSE
METROPOLITAN BANK AND TRUST COMPANY,SEOUL,MBTCKRSE
STATE BANK OF INDIA,SEOUL,SBINKRSE
"A AND G BANCA PRIVADA, S.A.",MADRID,AYGBESMM
BANCO BILBAO VIZCAYA ARGENTARIA S.A.,MADRID,BBVAESMMCFI
BANCO DE ESPANA,MADRID,ESPBESMMPLC
"BANK OF AMERICA EUROPE DESIGNATED ACTIVITY COMPANY, MADRID BRANCH",MADRID,BOFAES2X
"BNP PARIBAS SECURITIES SERVICES, SPAIN",MADRID,PARBESMXISI
"CAIXABANK, S.A.",TARRAGONA,CAIXESBBTAR
CELLNEX TELECOM SA,MADRID,CTEOESMM
EUROCAJA RURAL SOCIEDAD COOPERATIVA DE CREDITO,TOLEDO,ERSVES22
"INTERNATIONAL CONSOLIDATED AIRLINES GROUP, S.A.",MADRID,IAGLESMMVY1
AARHUSKARLSHAMN FINANCE AB,MALMO,AAFCSEMM
GETINGE TREASURY AB,GOETEBORG,GTRESEGG
NORDEA LIVFORSAKRING SVERIGE AB,STOCKHOLM,NOLSSES2W95
SVENSKA HANDELSBANKEN AB,STOCKHOLM,HANDSESSFIC
AARGAUISCHE KANTONALBANK,AARAU,KBAGCH22
AXA VERSICHERUNGEN AG,WINTERTHUR,AXIPCHZZMAV
BANK BSU GENOSSENSCHAFT,USTER,RBABCH22888
BANQUE LOMBARD ODIER ET CIE SA,GENEVA,LOCYCHGGWND
CALIDA HOLDING AG,LUCERNE,CLLHCH22
CORNER BANCA S.A.,ZUERICH,CBLUCH2280A
CREDIT SUISSE (SCHWEIZ) AG,"CHAUX-DE-FONDS, LA",CRESCHZZ23A
CREDIT SUISSE (SCHWEIZ) AG,GENEVA,CRESCHZZ12I
CREDIT SUISSE (SCHWEIZ) AG,LUCERNE,CRESCHZZ60A
AIA COMPANY LIMITED,BANGKOK,AIACTHBK
KASIKORNBANK PUBLIC COMPANY LIMITED,PATHUM THANI,KASITHBKNAV
ADABANK A.S.,ISTANBUL,ADABTRIS
CITIBANK A.S.,IZMIR,CITITRIXIZM
ICBC TURKEY BANK A.S. (FORMERLY TEKSTIL BANKASI A.S.),ISTANBUL,ICBKTRISETL
ING BANK A.S. (FORMERLY OYAK BANK A.S.),ANKARA,INGBTRIS315
ING BANK A.S. (FORMERLY OYAK BANK A.S.),ISTANBUL,INGBTRIS161
ING BANK A.S. (FORMERLY OYAK BANK A.S.),IZMIR,INGBTRIS783
KUVEYT TURK KATILIM BANKASI A.S.,ISTANBUL,KTEFTRIS
QNB FINANSBANK A.S.,KAHRAMANMARAS,FNNBTRISKHM
TURK EKONOMI BANKASI A.S.,ANKARA,TEBUTRIS342
'RADABANK' JOINT STOCK BANK,DNIPRO,RADAUA2N
FIRST UKRAINIAN INTERNATIONAL BANK,KIEV,FUIBUA2XKIE
JOINT STOCK COMPANY 'STATE SAVINGS BANK OF UKRAINE',ODESA,COSBUAUKODE
JSC CB PRIVATBANK,KIEV,PBANUA2X
JSCB INDUSTRIALBANK UKRAINE,ZAPORIZHZHIA,IJSOUA2NZAP
POLICOMBANK JSCB,CHERNIHIV,PLICUA22
"UNIVER CAPITAL, LIMITED",KIEV,UNAPUAU2
